time[seconds]	end[Bq/ml]	HighBinding	L_cb	R_cb	L_orbfrc	R_orbfrc	L_medinffg	R_medinffg	L_antcin	R_antcin	L_th	R_th	L_ins	R_ins	L_cau	R_cau	L_put	R_put	L_suptempg	R_suptempg	L_parc	R_parc	L_medinftempg	R_medinftempg	L_supfg	R_supfg	L_occ	R_occ	L_senmotc	R_senmotc	L_postcin	R_postcin	L_DLPFC	R_DLPFC	L_VLPFC	R_VLPFC	L_entorhinc	R_entorhinc	L_hippocampus	R_hippocampus	L_amygdala	R_amygdala	L_hypothal	R_hypothal	Total_orbfrc	Total_medinffg	Total_antcin	Total_th	Total_ins	Total_cau	Total_put	Total_suptempg	Total_parc	Total_medinftempg	Total_supfg	Total_occ	Total_senmotc	Total_postcin	Total_DLPFC	Total_VLPFC	Total_entorhinc	Total_hippocampus	Total_amygdala	Total_hypothal	Neocortex	Frontal Cortex	midbrain	medpost_tegm	Raphae	Total_cb	
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.425054e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.307889e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.280984e+00	3.006507e-02	5.416837e-02	0.000000e+00	0.000000e+00	0.000000e+00	1.767895e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.523479e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.483634e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.690479e+00	0.000000e+00	0.000000e+00	6.641812e-01	0.000000e+00	0.000000e+00	3.083144e+00	4.222158e-02	0.000000e+00	8.709262e-02	0.000000e+00	3.800455e-01	0.000000e+00	7.588900e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.397227e-01	1.337395e+00	2.753564e+00	0.000000e+00	0.000000e+00	0.000000e+00	
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7.314239e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.619481e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.082268e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
1.000000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.156954e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.555225e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.041134e-03	5.676548e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
1.500000e+01	2.000000e+01	0.000000e+00	1.905631e-01	2.369838e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.924397e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.483622e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.082270e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.134396e-01	
2.000000e+01	2.500000e+01	9.117758e+02	1.822125e+03	1.409805e+03	2.400641e+03	2.075163e+03	1.160417e+03	1.332644e+03	1.693538e+03	1.425636e+03	5.263550e+02	6.109733e+02	1.982869e+03	2.060788e+03	8.950611e+02	3.909053e+02	1.426926e+03	1.093497e+03	2.371695e+03	2.358805e+03	9.165157e+02	1.275522e+03	1.239424e+03	1.316026e+03	1.326024e+03	1.581826e+03	1.174819e+03	1.078470e+03	1.005303e+03	1.285339e+03	6.432897e+02	9.276321e+02	9.698177e+02	1.401171e+03	1.307347e+03	1.355634e+03	1.217870e+03	2.445780e+03	1.136492e+03	1.947777e+03	9.390655e+02	2.765492e+03	7.847983e+02	1.370763e+03	2.229999e+03	1.245831e+03	1.566965e+03	5.649640e+02	2.022438e+03	6.663204e+02	1.271879e+03	2.365368e+03	1.097581e+03	1.278437e+03	1.452041e+03	1.127994e+03	1.146762e+03	7.803133e+02	1.190458e+03	1.331619e+03	1.935949e+03	1.535546e+03	1.909355e+03	1.039254e+03	1.389000e+03	1.468459e+03	2.270752e+03	1.910990e+03	1.315914e+03	1.618930e+03	
2.500000e+01	3.000000e+01	6.806301e+03	7.931230e+03	7.381953e+03	7.660764e+03	8.164310e+03	7.945447e+03	7.820939e+03	1.005637e+04	1.178412e+04	9.198052e+03	6.309173e+03	1.148406e+04	1.060853e+04	8.599397e+03	4.680265e+03	6.555003e+03	7.048268e+03	1.025431e+04	9.516833e+03	6.963197e+03	7.545590e+03	6.731551e+03	6.713749e+03	7.940080e+03	7.705229e+03	7.082870e+03	8.175814e+03	6.958264e+03	7.072230e+03	7.773975e+03	1.010446e+04	8.095343e+03	7.901594e+03	9.307496e+03	8.005204e+03	4.674657e+03	8.744784e+03	9.394256e+03	7.445845e+03	7.716368e+03	1.279233e+04	1.320008e+04	6.521461e+03	7.924764e+03	7.883699e+03	1.087266e+04	7.879936e+03	1.103944e+04	6.821247e+03	6.784375e+03	9.892305e+03	7.256927e+03	6.722485e+03	7.824384e+03	7.614035e+03	7.015833e+03	8.897028e+03	7.996239e+03	8.652879e+03	7.054859e+03	8.435874e+03	1.041297e+04	1.029988e+04	7.704244e+03	7.868198e+03	8.740278e+03	7.163710e+03	5.560905e+03	7.660541e+03	
3.000000e+01	4.500000e+01	1.029951e+04	1.224222e+04	1.275037e+04	1.078194e+04	1.152616e+04	1.173253e+04	1.169385e+04	1.019778e+04	1.132236e+04	1.411724e+04	1.223751e+04	1.242077e+04	1.133923e+04	9.883396e+03	9.466943e+03	1.073214e+04	1.171071e+04	1.237853e+04	1.177468e+04	1.166682e+04	1.099369e+04	1.078600e+04	1.008364e+04	1.124367e+04	1.111336e+04	1.304782e+04	1.305584e+04	1.099904e+04	1.123398e+04	1.534627e+04	1.352040e+04	1.196451e+04	1.087877e+04	1.191620e+04	1.092749e+04	7.309184e+03	1.120319e+04	1.226382e+04	9.384280e+03	7.565591e+03	8.802293e+03	6.765192e+03	1.284990e+04	1.117212e+04	1.171335e+04	1.072910e+04	1.325957e+04	1.187153e+04	9.694447e+03	1.118718e+04	1.208212e+04	1.132733e+04	1.042829e+04	1.117947e+04	1.305172e+04	1.111772e+04	1.446639e+04	1.140915e+04	1.141921e+04	9.586391e+03	1.084744e+04	8.222589e+03	9.407481e+03	1.156835e+04	1.143745e+04	8.537679e+03	6.394062e+03	6.666450e+03	1.249264e+04	
4.500000e+01	6.000000e+01	1.284298e+04	1.276092e+04	1.253316e+04	1.166076e+04	1.134025e+04	1.290526e+04	1.211916e+04	1.152960e+04	1.173540e+04	1.256466e+04	1.453536e+04	1.201056e+04	1.133033e+04	1.392807e+04	1.272066e+04	1.309125e+04	1.086224e+04	1.252796e+04	1.189910e+04	1.162598e+04	1.202914e+04	1.179700e+04	1.057507e+04	1.157574e+04	1.139512e+04	1.360069e+04	1.326479e+04	1.213644e+04	1.193495e+04	1.219040e+04	1.325556e+04	1.224841e+04	1.155335e+04	1.375337e+04	1.189398e+04	1.084852e+04	8.593585e+03	1.362671e+04	1.041561e+04	8.535736e+03	8.521500e+03	7.321067e+03	8.517734e+03	1.149272e+04	1.251540e+04	1.162683e+04	1.346384e+04	1.166512e+04	1.338026e+04	1.205474e+04	1.221927e+04	1.182931e+04	1.117468e+04	1.148676e+04	1.343744e+04	1.203466e+04	1.270370e+04	1.189288e+04	1.281872e+04	9.529839e+03	1.204724e+04	8.528173e+03	7.840721e+03	1.210885e+04	1.198682e+04	8.395815e+03	1.003307e+04	8.116418e+03	1.264868e+04	
6.000000e+01	7.500000e+01	1.255717e+04	1.301282e+04	1.291944e+04	1.205150e+04	1.229500e+04	1.349127e+04	1.247580e+04	1.187243e+04	1.210044e+04	1.603600e+04	1.322528e+04	1.289862e+04	1.156240e+04	1.292464e+04	1.029009e+04	1.209368e+04	1.570228e+04	1.245949e+04	1.206661e+04	1.239859e+04	1.228979e+04	1.215165e+04	1.138253e+04	1.183421e+04	1.195807e+04	1.358545e+04	1.425154e+04	1.236324e+04	1.235588e+04	1.274659e+04	1.427696e+04	1.280267e+04	1.247345e+04	1.217539e+04	1.330015e+04	9.544172e+03	8.901564e+03	1.251459e+04	1.057919e+04	1.122018e+04	8.793808e+03	1.050538e+04	8.540231e+03	1.217916e+04	1.298766e+04	1.198016e+04	1.475355e+04	1.222005e+04	1.172932e+04	1.377171e+04	1.226664e+04	1.234372e+04	1.175994e+04	1.189523e+04	1.390917e+04	1.235952e+04	1.348407e+04	1.263427e+04	1.274077e+04	9.168376e+03	1.156261e+04	9.931170e+03	9.652013e+03	1.254500e+04	1.246787e+04	9.581508e+03	1.127382e+04	1.142931e+04	1.296680e+04	
7.500000e+01	9.000000e+01	1.425146e+04	1.294850e+04	1.264839e+04	1.204640e+04	1.244458e+04	1.372222e+04	1.354437e+04	1.110376e+04	1.190551e+04	1.446632e+04	1.411876e+04	1.271476e+04	1.276899e+04	1.480907e+04	1.466397e+04	1.410241e+04	1.287142e+04	1.295819e+04	1.355362e+04	1.303523e+04	1.272041e+04	1.218818e+04	1.200179e+04	1.231596e+04	1.166035e+04	1.492596e+04	1.481451e+04	1.331306e+04	1.265261e+04	1.269104e+04	1.264264e+04	1.245053e+04	1.263967e+04	1.405233e+04	1.493876e+04	1.268268e+04	6.928728e+03	1.294335e+04	1.005602e+04	6.737639e+03	8.261626e+03	1.018399e+04	7.035225e+03	1.225516e+04	1.363402e+04	1.148255e+04	1.430774e+04	1.274230e+04	1.474324e+04	1.352999e+04	1.325047e+04	1.287645e+04	1.209325e+04	1.199298e+04	1.487180e+04	1.297944e+04	1.266772e+04	1.254728e+04	1.449791e+04	9.317781e+03	1.152313e+04	7.547257e+03	8.816636e+03	1.311105e+04	1.282858e+04	8.783570e+03	1.053304e+04	1.119385e+04	1.280060e+04	
