Elapsed time (s),Duration of time frame (s)
36.000000,10.000000
46.000000,10.000000
56.000000,10.000000
66.000000,10.000000
76.000000,10.000000
86.000000,10.000000
101.000000,20.000000
121.000000,20.000000
141.000000,20.000000
166.000000,30.000000
196.000000,30.000000
226.000000,30.000000
256.000000,30.000000
286.000000,30.000000
316.000000,30.000000
361.000000,60.000000
421.000000,60.000000
481.000000,60.000000
541.000000,60.000000
601.000000,60.000000
691.000000,120.000000
811.000000,120.000000
931.000000,120.000000
1051.000000,120.000000
1171.000000,120.000000
1381.000000,300.000000
1681.000000,300.000000
1981.000000,300.000000
2281.000000,300.000000
2581.000000,300.000000
2881.000000,300.000000
3181.000000,300.000000
3481.000000,300.000000
3931.000000,600.000000
4531.000000,600.000000
5131.000000,600.000000
